Id,Tipo,Objeto_Pai,Tipo_Objeto_Pai,Descricao_Breve,Ref_Legado_Arquivo,Ref_Legado_Linhas,Desc_Abordagem,Ref_Doc_Abordagem,Ref_Doc_Linhas,Status_Documentacao,Status_Implementacao,Status_Teste_Unitario
QUERY-0024,QUERY,CB2QP031,METODO,SELECT: V0FERIADOS WHERE DATA_FERIADO - Busca feriado com calculo proximo dia,_LEGADO/cb2qa.esf,7308-7334,Migrar para FeriadosRepository.GetByData(),,,NOK,NOK,NOK
QUERY-0025,QUERY,CB2QP006,METODO,"SELECT: CHEQUES_EMITIDOS WHERE COD_EMPRESA=0,TIPO_MOVIMENTO=3,NUM_DOCUMENTO,DATA_MOVIMENTO",_LEGADO/cb2qa.esf,7336-7369,Migrar para ChequesEmitidosRepository.GetByDocumento(),,,NOK,NOK,NOK
QUERY-0026,QUERY,CB2QP008,METODO,SELECT: CHEQUES_EMITIDOS WHERE NUM_CHEQUE_INTERNO - Busca cheque por interno,_LEGADO/cb2qa.esf,7371-7403,Migrar para ChequesEmitidosRepository.GetByInterno(),,,NOK,NOK,NOK
QUERY-0027,QUERY,CB2QP028,METODO,"SELECT: LOTE_CHEQUES WHERE NUM_CHEQUE_INTERNO,DIG_CHEQUE_INTERNO - Busca dados lote",_LEGADO/cb2qa.esf,7405-7437,Migrar para LoteChequesRepository.GetByInterno(),,,NOK,NOK,NOK
QUERY-0028,QUERY,CB2QP035,METODO,SELECT: V1USUARIOS WHERE CODUSU - Busca nome usuario,_LEGADO/cb2qa.esf,7489-7516,Migrar para UsuariosRepository.GetNome(),,,NOK,NOK,NOK
QUERY-0029,QUERY,CB2QP050,METODO,SELECT: SINISTRO_HISTORICO WHERE chave EXISTS subquery movimento posterior - Valida pagamento,_LEGADO/cb2qa.esf,7518-7582,Migrar para SinistroHistoricoRepository.ValidaPagamentoPosterior(),,,NOK,NOK,NOK
QUERY-0030,QUERY,CB2QP051,METODO,"SELECT: SINISTRO_HISTORICO MAX(DATA,HORA) WHERE NUM_APOL,COD_OPERACAO IN (1050,2050,3050)",_LEGADO/cb2qa.esf,7584-7652,Migrar para SinistroHistoricoRepository.GetUltimoMovimento(),,,NOK,NOK,NOK
QUERY-0031,QUERY,CB2QP056,METODO,SELECT: V0MOVDEBCC_CEF WHERE NUM_APOLICE GROUP BY - Cursor movimentos apolice RD,_LEGADO/cb2qa.esf,6797-6832,Migrar para MovDebCCRepository.GetCursorByApolice(),,,NOK,NOK,NOK
QUERY-0032,QUERY,CB2QP053,METODO,"SELECT: CB2QR001 JOIN V1ENDOSSO WHERE NUM_APOLICE,NRENDOS - Cursor RD apolice/endosso",_LEGADO/cb2qa.esf,6613-6666,Migrar para RegistroDebAutoRepository.GetCursorByApoliceEndosso(),,,NOK,NOK,NOK
QUERY-0033,QUERY,CB2QP057,METODO,"SELECT: V0MOVDEBCC_CEF WHERE NUM_APOLICE,NRENDOS GROUP BY - Cursor movimentos apolice/endosso RD",_LEGADO/cb2qa.esf,6834-6893,Migrar para MovDebCCRepository.GetCursorByApoliceEndosso(),,,NOK,NOK,NOK
QUERY-0034,QUERY,CB2QP054,METODO,"SELECT: CB2QR001 JOIN V1ENDOSSO WHERE COD_AGENCIA,OPER_CONTA,NUM_CONTA - Cursor RD conta",_LEGADO/cb2qa.esf,6668-6726,Migrar para RegistroDebAutoRepository.GetCursorByConta(),,,NOK,NOK,NOK
QUERY-0035,QUERY,CB2QP058,METODO,"SELECT: V0MOVDEBCC_CEF WHERE COD_AGENCIA,OPER_CONTA,NUM_CONTA GROUP BY - Cursor movimentos conta RD",_LEGADO/cb2qa.esf,6895-6960,Migrar para MovDebCCRepository.GetCursorByConta(),,,NOK,NOK,NOK
QUERY-0036,QUERY,CB2QP055,METODO,SELECT: CB2QR001 JOIN V1ENDOSSO WHERE NUM_CARTAO - Cursor RD cartao,_LEGADO/cb2qa.esf,6728-6779,Migrar para RegistroDebAutoRepository.GetCursorByCartao(),,,NOK,NOK,NOK
QUERY-0037,QUERY,CB2QP059,METODO,SELECT: V0MOVDEBCC_CEF WHERE NUM_CARTAO GROUP BY - Cursor movimentos cartao RD,_LEGADO/cb2qa.esf,6962-7017,Migrar para MovDebCCRepository.GetCursorByCartao(),,,NOK,NOK,NOK
QUERY-0038,QUERY,CB2QP014,METODO,SELECT: V0MOVDEBCC_CEF WHERE NUM_APOLICE GROUP BY - Cursor movimentos apolice,_LEGADO/cb2qa.esf,7019-7050,Migrar para MovDebCCRepository.GetCursorByApolice(),,,NOK,NOK,NOK
QUERY-0039,QUERY,CB2QP015,METODO,"SELECT: V0MOVDEBCC_CEF WHERE NUM_APOLICE,NRENDOS GROUP BY - Cursor movimentos apolice/endosso",_LEGADO/cb2qa.esf,7052-7084,Migrar para MovDebCCRepository.GetCursorByApoliceEndosso(),,,NOK,NOK,NOK
QUERY-0040,QUERY,CB2QP016,METODO,"SELECT: V0MOVDEBCC_CEF WHERE COD_AGENCIA,OPER_CONTA,NUM_CONTA GROUP BY - Cursor movimentos conta",_LEGADO/cb2qa.esf,7086-7120,Migrar para MovDebCCRepository.GetCursorByConta(),,,NOK,NOK,NOK
QUERY-0041,QUERY,CB2QP017,METODO,SELECT: V0MOVDEBCC_CEF WHERE NUM_CARTAO GROUP BY - Cursor movimentos cartao,_LEGADO/cb2qa.esf,7122-7140,Migrar para MovDebCCRepository.GetCursorByCartao(),,,NOK,NOK,NOK
QUERY-0042,QUERY,CB2QP023,METODO,"SELECT: V0MOVDEBCC_CEF WHERE NUM_APOLICE,NRENDOS,COD_CONVENIO - Cursor parcelas detalhado",_LEGADO/cb2qa.esf,7439-7468,Migrar para MovDebCCRepository.GetCursorParcelas(),,,NOK,NOK,NOK
QUERY-0043,QUERY,CB2QP038,METODO,"SELECT: V1MOVDEBCC_CEF WHERE NUM_APOLICE,NRENDOS,NRPARCEL,COD_CONVENIO,SIT_COBRANCA",_LEGADO/cb2qa.esf,7470-7487,Migrar para MovDebCCV1Repository.GetCursorBySituacao(),,,NOK,NOK,NOK
QUERY-0044,QUERY,CB2QP018,METODO,FETCH: V0MOVDEBCC_CEF - Itera cursor movimentos,_LEGADO/cb2qa.esf,6781-6795,Migrar para loop foreach ou LINQ,,,NOK,NOK,NOK
QUERY-0045,QUERY,CB2QP024,METODO,FETCH: CALENDARIO - Itera cursor calendario,_LEGADO/cb2qa.esf,7654-7672,Migrar para loop foreach ou LINQ,,,NOK,NOK,NOK
QUERY-0046,QUERY,CB2QP039,METODO,FETCH: GE_MOVTO_CONTA - Itera cursor movimento conta,_LEGADO/cb2qa.esf,7674-7688,Migrar para loop foreach ou LINQ,,,NOK,NOK,NOK

